Armenia;Europe;Global North
Andorra;Europe;Global North
Albania;Europe;Global North
Aland Islands;Europe;Global North
Yemen;Middle east;Global South
United Arab Emirates;Middle east;Global South
Saudi Arabia;Middle east;Global South
Qatar;Middle east;Global South
Oman;Middle east;Global South
Libya;Middle east;Global South
Lebanon;Middle east;Global South
Kuwait;Middle east;Global South
Jordan;Middle east;Global South
Iraq;Middle east;Global South
Iran;Middle east;Global South
Egypt;Middle east;Global South
United States;North America;Global North
Saint Pierre and Miquelon;North America;Global North
Canada;North America;Global North
Virgin Islands;South/Latin America;Global South
Virgin Islands;South/Latin America;Global South
Venezuela;South/Latin America;Global South
Uruguay;South/Latin America;Global South
Turks and Caicos Islands;South/Latin America;Global South
Trinidad and Tobago;South/Latin America;Global South
Suriname;South/Latin America;Global South
South Georgia and the South Sandwich Islands;South/Latin America;Global South
Saint Vincent and the Grenadines;South/Latin America;Global South
Saint Martin;South/Latin America;Global South
Saint Lucia;South/Latin America;Global South
Saint Kitts and Nevis;South/Latin America;Global South
Saint Barthelemy;South/Latin America;Global South
Puerto Rico;South/Latin America;Global South
Peru;South/Latin America;Global South
Paraguay;South/Latin America;Global South
Panama;South/Latin America;Global South
Nicaragua;South/Latin America;Global South
Netherlands Antilles;South/Latin America;Global South
Montserrat;South/Latin America;Global South
Mexico;South/Latin America;Global South
Martinique;South/Latin America;Global South
Jamaica;South/Latin America;Global South
Honduras;South/Latin America;Global South
Haiti;South/Latin America;Global South
Guyana;South/Latin America;Global South
Guatemala;South/Latin America;Global South
Guadeloupe;South/Latin America;Global South
Grenada;South/Latin America;Global South
French Guiana;South/Latin America;Global South
Falkland Islands (Malvinas);South/Latin America;Global South
El Salvador;South/Latin America;Global South
Ecuador;South/Latin America;Global South
Dominican Republic;South/Latin America;Global South
Dominica;South/Latin America;Global South
Cuba;South/Latin America;Global South
Costa Rica;South/Latin America;Global South
Colombia;South/Latin America;Global South
Chile;South/Latin America;Global South
Cayman Islands;South/Latin America;Global South
Brazil;South/Latin America;Global South
Bouvet Island;South/Latin America;Global South
Bolivia;South/Latin America;Global South
Bermuda;South/Latin America;Global South
Belize;South/Latin America;Global South
Barbados;South/Latin America;Global South
Bahamas;South/Latin America;Global South
Aruba;South/Latin America;Global South
Argentina;South/Latin America;Global South
Antigua and Barbuda;South/Latin America;Global South
Anguilla;South/Latin America;Global South

